dropout,seed,epoch,layer,stable_rank,test_acc
0.0,7,100,layer1,2.321592259227257,0.7667
0.0,7,100,layer2,2.977309931651102,0.7667
0.0,7,100,layer4,3.7660961348630275,0.7667
0.0,8,1,layer1,2.0127111389024535,0.1364
0.0,8,1,layer2,2.3862829017263603,0.1364
0.0,8,1,layer4,2.7906803785877674,0.1364
0.0,8,50,layer1,2.237639868725506,0.6047
0.0,8,50,layer2,2.962162308710017,0.6047
0.0,8,50,layer4,3.9543535339254308,0.6047
0.0,8,100,layer1,2.2939633911531465,0.7626
0.0,8,100,layer2,3.004280165913484,0.7626
0.0,8,100,layer4,3.7315688600199564,0.7626
0.0,9,1,layer1,2.1933127415905864,0.1455
0.0,9,1,layer2,2.2658136621124334,0.1455
0.0,9,1,layer4,2.6720409144600192,0.1455
0.0,9,50,layer1,2.6623382405012506,0.577
0.0,9,50,layer2,3.072064403469497,0.577
0.0,9,50,layer4,3.7899846292308395,0.577
0.0,9,100,layer1,2.6694598370869422,0.7667
0.0,9,100,layer2,3.0509499241249216,0.7667
0.0,9,100,layer4,3.814880099388442,0.7667
0.1,0,1,layer1,2.4837730279577683,0.1282
0.1,0,1,layer2,2.5560527072755512,0.1282
0.1,0,1,layer4,2.751200096017322,0.1282
0.1,0,50,layer1,2.127072142884838,0.5825
0.1,0,50,layer2,2.9479859960125685,0.5825
0.1,0,50,layer4,3.6643929861231075,0.5825
0.1,0,100,layer1,2.1301856086199344,0.7669
0.1,0,100,layer2,3.042226655535838,0.7669
0.1,0,100,layer4,3.7434812028751296,0.7669
0.1,1,1,layer1,2.2158088872841666,0.1453
0.1,1,1,layer2,2.4430301097701816,0.1453
0.1,1,1,layer4,3.016278229576225,0.1453
0.1,1,50,layer1,2.58039361287557,0.5233
0.1,1,50,layer2,2.978043847735454,0.5233
0.1,1,50,layer4,3.6097104383078844,0.5233
0.1,1,100,layer1,2.466200328796971,0.7686
0.1,1,100,layer2,3.077628884205406,0.7686
0.1,1,100,layer4,3.8800850609241304,0.7686
0.1,2,1,layer1,2.337038500697069,0.121
0.1,2,1,layer2,2.4574505390326284,0.121
0.1,2,1,layer4,3.2917681111259216,0.121
0.1,2,50,layer1,2.517533400371427,0.559
0.1,2,50,layer2,2.9475676467841594,0.559
0.1,2,50,layer4,3.3625716181932757,0.559
0.1,2,100,layer1,2.5401119328068154,0.7636
0.1,2,100,layer2,3.0047312829455395,0.7636
0.1,2,100,layer4,3.703219288577131,0.7636
0.1,3,1,layer1,2.15757880489184,0.0991
0.1,3,1,layer2,2.438311370218386,0.0991
0.1,3,1,layer4,2.7826028622300387,0.0991
0.1,3,50,layer1,2.301345668783204,0.5838
0.1,3,50,layer2,2.7409819726097338,0.5838
0.1,3,50,layer4,3.952663726917489,0.5838
0.1,3,100,layer1,2.3591283307357767,0.7575
0.1,3,100,layer2,2.8401858936525852,0.7575
0.1,3,100,layer4,3.6705071802161267,0.7575
0.1,4,1,layer1,2.224995610614985,0.1134
0.1,4,1,layer2,2.246534250025656,0.1134
0.1,4,1,layer4,3.2960474648742593,0.1134
0.1,4,50,layer1,2.246697928680923,0.5862
0.1,4,50,layer2,2.9939213227783563,0.5862
0.1,4,50,layer4,3.8986642986374336,0.5862
0.1,4,100,layer1,2.1847169273753466,0.7661
0.1,4,100,layer2,3.0282256537958587,0.7661
0.1,4,100,layer4,3.833721233687229,0.7661
0.1,5,1,layer1,2.308812642820833,0.1193
0.1,5,1,layer2,2.6863622784245025,0.1193
0.1,5,1,layer4,2.8173220472201215,0.1193
0.1,5,50,layer1,2.6532634852099815,0.5842
0.1,5,50,layer2,2.8519543324764136,0.5842
0.1,5,50,layer4,3.854080743774549,0.5842
0.1,5,100,layer1,2.717823101535781,0.7634
0.1,5,100,layer2,2.8912619378252225,0.7634
0.1,5,100,layer4,3.838016586842605,0.7634
0.1,6,1,layer1,2.261194904250502,0.1389
0.1,6,1,layer2,2.0902805666469444,0.1389
0.1,6,1,layer4,3.0425773945474055,0.1389
0.1,6,50,layer1,1.9642119223320025,0.5485
0.1,6,50,layer2,3.0306201342262318,0.5485
0.1,6,50,layer4,3.5990537656399253,0.5485
0.1,6,100,layer1,1.9620098280784324,0.7595
0.1,6,100,layer2,3.034263579077339,0.7595
0.1,6,100,layer4,3.803655334654514,0.7595
0.1,7,1,layer1,2.39398780517863,0.1261
